C7057|Disease, Disorder or Finding
C56038|Grade 3 Cardiac and Heart Pain, CTCAE
C56039|Grade 4 Cardiac and Heart Pain, CTCAE
C56030|Buttock Pain, CTCAE 3.0
C56034|Grade 4 Buttock Pain, CTCAE
C56050|Dental and Teeth and Peridontal Pain, CTCAE
C56051|Grade 1 Dental and Teeth and Peridontal Pain, CTCAE
C56052|Grade 2 Dental and Teeth and Peridontal Pain, CTCAE
C56053|Grade 3 Dental and Teeth and Peridontal Pain, CTCAE
C56054|Grade 4 Dental and Teeth and Peridontal Pain, CTCAE
C56045|Chest and Thorax Pain NOS, CTCAE
C56047|Grade 2 Chest and Thorax Pain, CTCAE
C56046|Grade 1 Chest and Thorax Pain, CTCAE
C56048|Grade 3 Chest and Thorax Pain, CTCAE
C56049|Grade 4 Chest and Thorax Pain, CTCAE
C56060|External Ear Pain, CTCAE 3.0
C56064|Grade 4 External Ear Pain, CTCAE
C56040|Chest Wall Pain, CTCAE 3.0
C56044|Grade 4 Chest Wall Pain, CTCAE
C56055|Esophagus Pain, CTCAE
C56056|Grade 1 Esophagus Pain, CTCAE
C56057|Grade 2 Esophagus Pain, CTCAE
C56058|Grade 3 Esophagus Pain, CTCAE
C56059|Grade 4 Esophagus Pain, CTCAE
C56065|Extremity Limb Pain, CTCAE
C56066|Grade 1 Extremity Limb Pain, CTCAE
C56067|Grade 2 Extremity Limb Pain, CTCAE
C56069|Grade 4 Extremity Limb Pain, CTCAE
C56068|Grade 3 Extremity Limb Pain, CTCAE
C56070|Eye Pain, CTCAE 3.0
C56074|Grade 4 Eye Pain, CTCAE
C56085|Head and Headache Pain, CTCAE
C56086|Grade 1 Head and Headache Pain, CTCAE
C56087|Grade 2 Head and Headache Pain, CTCAE
C56088|Grade 3 Head and Headache Pain, CTCAE
C56089|Grade 4 Head and Headache Pain, CTCAE
C56090|Intestine Pain, CTCAE
C56091|Grade 1 Intestine Pain, CTCAE
C56092|Grade 2 Intestine Pain, CTCAE
C56093|Grade 3 Intestine Pain, CTCAE
C56094|Grade 4 Intestine Pain, CTCAE
C56075|Face Pain, CTCAE
C56076|Grade 1 Face Pain, CTCAE
C56077|Grade 2 Face Pain, CTCAE
C56078|Grade 3 Face Pain, CTCAE
C56079|Grade 4 Face Pain, CTCAE
C56100|Kidney Pain, CTCAE
C56101|Grade 1 Kidney Pain, CTCAE
C56102|Grade 2 Kidney Pain, CTCAE
C56103|Grade 3 Kidney Pain, CTCAE
C56104|Grade 4 Kidney Pain, CTCAE
C56080|Gallbladder Pain, CTCAE 3.0
C56084|Grade 4 Gallbladder Pain, CTCAE
C56110|Lip Pain, CTCAE 3.0
C56114|Grade 4 Lip Pain, CTCAE
C56095|Joint Pain, CTCAE
C56096|Grade 1 Joint Pain, CTCAE
C56098|Grade 3 Joint Pain, CTCAE
C56097|Grade 2 Joint Pain, CTCAE
C56099|Grade 4 Joint Pain, CTCAE
C56120|Lymph Node Pain, CTCAE 3.0
C56124|Grade 4 Lymph Node Pain, CTCAE
C56105|Larynx Pain, CTCAE
C56106|Grade 1 Larynx Pain, CTCAE
C56108|Grade 3 Larynx Pain, CTCAE
C56107|Grade 2 Larynx Pain, CTCAE
C56109|Grade 4 Larynx Pain, CTCAE
C56115|Liver Pain, CTCAE
C56116|Grade 1 Liver Pain, CTCAE
C56117|Grade 2 Liver Pain, CTCAE
C56118|Grade 3 Liver Pain, CTCAE
C56119|Grade 4 Liver Pain, CTCAE
C56130|Muscle Pain, CTCAE
C56131|Grade 1 Muscle Pain, CTCAE
C56133|Grade 3 Muscle Pain, CTCAE
C56132|Grade 2 Muscle Pain, CTCAE
C56134|Grade 4 Muscle Pain, CTCAE
C56125|Middle Ear Pain, CTCAE
C56126|Grade 1 Middle Ear Pain, CTCAE
C56127|Grade 2 Middle Ear Pain, CTCAE
C56128|Grade 3 Middle Ear Pain, CTCAE
C56129|Grade 4 Middle Ear Pain, CTCAE
C56135|Neck Pain, CTCAE 3.0
C56139|Grade 4 Neck Pain, CTCAE
C56145|Oral Cavity Pain, CTCAE 3.0
C56149|Grade 4 Oral Cavity Pain, CTCAE
C56155|Ovulatory Pain, CTCAE 3.0
C56156|Grade 1 Ovulatory Pain, CTCAE
C56158|Grade 3 Ovulatory Pain, CTCAE
C56159|Grade 4 Ovulatory Pain, CTCAE
C56150|Oral Pain of the Gums, CTCAE
C56152|Grade 2 Oral Pain of the Gums, CTCAE
C56153|Grade 3 Oral Pain of the Gums, CTCAE
C56151|Grade 1 Oral Pain of the Gums, CTCAE
C56154|Grade 4 Oral Pain of the Gums, CTCAE
C56160|Pain NOS, CTCAE
C56161|Grade 1 Pain NOS, CTCAE
C56162|Grade 2 Pain NOS, CTCAE
C56163|Grade 3 Pain NOS, CTCAE
C56164|Grade 4 Pain NOS, CTCAE
C56140|Neuralgia and Peripheral Nerve Pain, CTCAE
C56141|Grade 1 Neuralgia and Peripheral Nerve Pain, CTCAE
C56142|Grade 2 Neuralgia and Peripheral Nerve Pain, CTCAE
C56144|Grade 4 Neuralgia and Peripheral Nerve Pain, CTCAE
C56143|Grade 3 Neuralgia and Peripheral Nerve Pain, CTCAE
C56170|Penis Pain, CTCAE 3.0
C56174|Grade 4 Penis Pain, CTCAE
C56165|Pelvis Pain, CTCAE 3.0
C56166|Grade 1 Pelvis Pain, CTCAE
C56168|Grade 3 Pelvis Pain, CTCAE
C56167|Grade 2 Pelvis Pain, CTCAE
C56169|Grade 4 Pelvis Pain, CTCAE
C56175|Pericardium Pain, CTCAE
C56176|Grade 1 Pericardium Pain, CTCAE
C56177|Grade 2 Pericardium Pain, CTCAE
C56179|Grade 4 Pericardium Pain, CTCAE
C56178|Grade 3 Pericardium Pain, CTCAE
C56180|Perineum Pain, CTCAE 3.0
C56181|Grade 1 Perineum Pain, CTCAE
C56183|Grade 3 Perineum Pain, CTCAE
C56182|Grade 2 Perineum Pain, CTCAE
C56184|Grade 4 Perineum Pain, CTCAE
C56190|Phantom Pain Associated with Missing Limb, CTCAE
C56191|Grade 1 Phantom Pain Associated with Missing Limb, CTCAE
C56192|Grade 2 Phantom Pain Associated with Missing Limb, CTCAE
C56194|Grade 4 Phantom Pain Associated with Missing Limb, CTCAE
C56193|Grade 3 Phantom Pain Associated with Missing Limb, CTCAE
C56185|Peritoneum Pain, CTCAE
C56186|Grade 1 Peritoneum Pain, CTCAE
C56187|Grade 2 Peritoneum Pain, CTCAE
C56189|Grade 4 Peritoneum Pain, CTCAE
C56188|Grade 3 Peritoneum Pain, CTCAE
C56195|Pleura Pain, CTCAE 3.0
C56196|Grade 1 Pleura Pain, CTCAE
C56197|Grade 2 Pleura Pain, CTCAE
C56198|Grade 3 Pleura Pain, CTCAE
C56199|Grade 4 Pleura Pain, CTCAE
C56200|Prostate Pain, CTCAE 3.0
C56201|Grade 1 Prostate Pain, CTCAE
C56202|Grade 2 Prostate Pain, CTCAE
C56204|Grade 4 Prostate Pain, CTCAE
C56203|Grade 3 Prostate Pain, CTCAE
C56210|Scalp Pain, CTCAE 3.0
C56214|Grade 4 Scalp Pain, CTCAE
C56205|Rectum Pain, CTCAE 3.0
C56206|Grade 1 Rectum Pain, CTCAE
C56207|Grade 2 Rectum Pain, CTCAE
C56208|Grade 3 Rectum Pain, CTCAE
C56209|Grade 4 Rectum Pain, CTCAE
C56215|Scrotum Pain, CTCAE 3.0
C56216|Grade 1 Scrotum Pain, CTCAE
C56217|Grade 2 Scrotum Pain, CTCAE
C56218|Grade 3 Scrotum Pain, CTCAE
C56219|Grade 4 Scrotum Pain, CTCAE
C56220|Sinus Pain, CTCAE 3.0
C56224|Grade 4 Sinus Pain, CTCAE
C56225|Skin Pain, CTCAE
C56227|Grade 2 Skin Pain, CTCAE
C56226|Grade 1 Skin Pain, CTCAE
C56228|Grade 3 Skin Pain, CTCAE
C56229|Grade 4 Skin Pain, CTCAE
C56230|Stomach Pain, CTCAE 3.0
C56234|Grade 4 Stomach Pain, CTCAE
C56235|Testicle Pain, CTCAE 3.0
C56236|Grade 1 Testicle Pain, CTCAE
C56237|Grade 2 Testicle Pain, CTCAE
C56238|Grade 3 Testicle Pain, CTCAE
C56239|Grade 4 Testicle Pain, CTCAE
C56245|Tumor Pain, CTCAE 3.0
C56249|Grade 4 Tumor Pain, CTCAE
C56240|Throat and Pharynx and Larynx Pain, CTCAE
C56241|Grade 1 Throat and Pharynx and Larynx Pain, CTCAE
C56242|Grade 2 Throat and Pharynx and Larynx Pain, CTCAE
C56243|Grade 3 Throat and Pharynx and Larynx Pain, CTCAE
C56244|Grade 4 Throat and Pharynx and Larynx Pain, CTCAE
C56250|Urethra Pain, CTCAE
C56251|Grade 1 Urethra Pain, CTCAE
C56253|Grade 3 Urethra Pain, CTCAE
C56252|Grade 2 Urethra Pain, CTCAE
C56254|Grade 4 Urethra Pain, CTCAE
C56260|Vagina Pain, CTCAE 3.0
C56261|Grade 1 Vagina Pain, CTCAE
C56263|Grade 3 Vagina Pain, CTCAE
C56264|Grade 4 Vagina Pain, CTCAE
C56262|Grade 2 Vagina Pain, CTCAE
C56255|Uterus Pain, CTCAE 3.0
C56257|Grade 2 Uterus Pain, CTCAE
C56258|Grade 3 Uterus Pain, CTCAE
C56259|Grade 4 Uterus Pain, CTCAE
C56256|Grade 1 Uterus Pain, CTCAE
C53795|Adverse Event Associated with Pulmonary and Upper Respiratory Systems
C58023|Bronchospasm and Wheezing, CTCAE
C58093|Grade 3 Bronchospasm and Wheezing, CTCAE
C58060|Grade 2 Bronchospasm and Wheezing, CTCAE
C58031|Grade 1 Bronchospasm and Wheezing, CTCAE
C58126|Grade 4 Bronchospasm and Wheezing, CTCAE
C58157|Grade 5 Bronchospasm and Wheezing, CTCAE
C58026|Carbon Monoxide Diffusion Capacity, CTCAE
C58034|Grade 1 Carbon Monoxide Diffusion Capacity, CTCAE
C58063|Grade 2 Carbon Monoxide Diffusion Capacity, CTCAE
C58096|Grade 3 Carbon Monoxide Diffusion Capacity, CTCAE
C58160|Grade 5 Carbon Monoxide Diffusion Capacity, CTCAE
C58129|Grade 4 Carbon Monoxide Diffusion Capacity, CTCAE
C58186|FEV1, CTCAE
C58038|Grade 1 FEV1, CTCAE
C58067|Grade 2 FEV1, CTCAE
C58100|Grade 3 FEV1, CTCAE
C58132|Grade 4 FEV1, CTCAE
C58163|Grade 5 FEV1, CTCAE
C58187|Hiccoughs, CTCAE
C58039|Grade 1 Hiccoughs, CTCAE
C58068|Grade 2 Hiccoughs, CTCAE
C58101|Grade 3 Hiccoughs, CTCAE
C58189|Larynx Edema, CTCAE
C58040|Grade 1 Larynx Edema, CTCAE
C58103|Grade 3 Larynx Edema, CTCAE
C58070|Grade 2 Larynx Edema, CTCAE
C58134|Grade 4 Larynx Edema, CTCAE
C58165|Grade 5 Larynx Edema, CTCAE
C58193|Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58044|Grade 1 Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58074|Grade 2 Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58107|Grade 3 Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58138|Grade 4 Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58169|Grade 5 Nasal Cavity and Paranasal Sinus Reactions, CTCAE
C58194|Non-Malignant Pleural Effusion, CTCAE
C58045|Grade 1 Non-Malignant Pleural Effusion, CTCAE
C58108|Grade 3 Non-Malignant Pleural Effusion, CTCAE
C58075|Grade 2 Non-Malignant Pleural Effusion, CTCAE
C58170|Grade 5 Non-Malignant Pleural Effusion, CTCAE
C58139|Grade 4 Non-Malignant Pleural Effusion, CTCAE
C58196|Other Pulmonary and Upper Respiratory, CTCAE
C58047|Grade 1 Other Pulmonary and Upper Respiratory, CTCAE
C58077|Grade 2 Other Pulmonary and Upper Respiratory, CTCAE
C58110|Grade 3 Other Pulmonary and Upper Respiratory, CTCAE
C58141|Grade 4 Other Pulmonary and Upper Respiratory, CTCAE
C58172|Grade 5 Other Pulmonary and Upper Respiratory, CTCAE
C58200|Pneumonitis and Pulmonary Infiltrates, CTCAE
C58051|Grade 1 Pneumonitis and Pulmonary Infiltrates, CTCAE
C58081|Grade 2 Pneumonitis and Pulmonary Infiltrates, CTCAE
C58114|Grade 3 Pneumonitis and Pulmonary Infiltrates, CTCAE
C58145|Grade 4 Pneumonitis and Pulmonary Infiltrates, CTCAE
C58176|Grade 5 Pneumonitis and Pulmonary Infiltrates, CTCAE
C58202|Prolonged Chest Tube Drainage or Air Leak After Pulmonary Resection, CTCAE
C58083|Grade 2 Prolonged Chest Tube Drainage or Air Leak After Pulmonary Resection, CTCAE
C58116|Grade 3 Prolonged Chest Tube Drainage or Air Leak After Pulmonary Resection, CTCAE
C58147|Grade 4 Prolonged Chest Tube Drainage or Air Leak After Pulmonary Resection, CTCAE
C58178|Grade 5 Prolonged Chest Tube Drainage or Air Leak After Pulmonary Resection, CTCAE
C58207|Vital Capacity, CTCAE
C58056|Grade 1 Vital Capacity, CTCAE
C58088|Grade 2 Vital Capacity, CTCAE
C58121|Grade 3 Vital Capacity, CTCAE
C58152|Grade 4 Vital Capacity, CTCAE
C58183|Grade 5 Vital Capacity, CTCAE
C58204|Pulmonary Fibrosis Radiographic Changes, CTCAE
C58053|Grade 1 Pulmonary Fibrosis Radiographic Changes, CTCAE
C58085|Grade 2 Pulmonary Fibrosis Radiographic Changes, CTCAE
C58118|Grade 3 Pulmonary Fibrosis Radiographic Changes, CTCAE
C58149|Grade 4 Pulmonary Fibrosis Radiographic Changes, CTCAE
C58180|Grade 5 Pulmonary Fibrosis Radiographic Changes, CTCAE
C58203|Prolonged Intubation After Pulmonary Resection, CTCAE
C58084|Grade 2 Prolonged Intubation After Pulmonary Resection, CTCAE
C58117|Grade 3 Prolonged Intubation After Pulmonary Resection, CTCAE
C58148|Grade 4 Prolonged Intubation After Pulmonary Resection, CTCAE
C58179|Grade 5 Prolonged Intubation After Pulmonary Resection, CTCAE
C58208|Voice Changes and Dysarthria, CTCAE
C58057|Grade 1 Voice Changes and Dysarthria, CTCAE
C58089|Grade 2 Voice Changes and Dysarthria, CTCAE
C58122|Grade 3 Voice Changes and Dysarthria, CTCAE
C58153|Grade 4 Voice Changes and Dysarthria, CTCAE
C58184|Grade 5 Voice Changes and Dysarthria, CTCAE
C53810|Airway Obstruction and Stenosis, CTCAE
C58197|Pharynx Obstruction and Stenosis, CTCAE
C58078|Grade 2 Pharynx Obstruction and Stenosis, CTCAE
C58048|Grade 1 Pharynx Obstruction and Stenosis, CTCAE
C58111|Grade 3 Pharynx Obstruction and Stenosis, CTCAE
C58142|Grade 4 Pharynx Obstruction and Stenosis, CTCAE
C58173|Grade 5 Pharynx Obstruction and Stenosis, CTCAE
C58025|Bronchus Obstruction and Stenosis, CTCAE
C58062|Grade 2 Bronchus Obstruction and Stenosis, CTCAE
C58033|Grade 1 Bronchus Obstruction and Stenosis, CTCAE
C58095|Grade 3 Bronchus Obstruction and Stenosis, CTCAE
C58159|Grade 5 Bronchus Obstruction and Stenosis, CTCAE
C58128|Grade 4 Bronchus Obstruction and Stenosis, CTCAE
C58191|Larynx Obstruction and Stenosis, CTCAE
C58042|Grade 1 Larynx Obstruction and Stenosis, CTCAE
C58072|Grade 2 Larynx Obstruction and Stenosis, CTCAE
C58105|Grade 3 Larynx Obstruction and Stenosis, CTCAE
C58136|Grade 4 Larynx Obstruction and Stenosis, CTCAE
C58167|Grade 5 Larynx Obstruction and Stenosis, CTCAE
C58206|Trachea Obstruction and Stenosis, CTCAE
C58055|Grade 1 Trachea Obstruction and Stenosis, CTCAE
C58120|Grade 3 Trachea Obstruction and Stenosis, CTCAE
C58087|Grade 2 Trachea Obstruction and Stenosis, CTCAE
C58151|Grade 4 Trachea Obstruction and Stenosis, CTCAE
C58182|Grade 5 Trachea Obstruction and Stenosis, CTCAE
C53838|Pulmonary and Upper Respiratory Fistula, CTCAE
C58024|Bronchus Fistula, CTCAE
C58061|Grade 2 Bronchus Fistula, CTCAE
C58032|Grade 1 Bronchus Fistula, CTCAE
C58094|Grade 3 Bronchus Fistula, CTCAE
C58127|Grade 4 Bronchus Fistula, CTCAE
C58158|Grade 5 Bronchus Fistula, CTCAE
C58192|Lung Fistula, CTCAE
C58043|Grade 1 Lung Fistula, CTCAE
C58073|Grade 2 Lung Fistula, CTCAE
C58137|Grade 4 Lung Fistula, CTCAE
C58106|Grade 3 Lung Fistula, CTCAE
C58168|Grade 5 Lung Fistula, CTCAE
C58195|Oral Cavity Pulmonary Fistula, CTCAE
C58046|Grade 1 Oral Cavity Pulmonary Fistula, CTCAE
C58076|Grade 2 Oral Cavity Pulmonary Fistula, CTCAE
C58109|Grade 3 Oral Cavity Pulmonary Fistula, CTCAE
C58140|Grade 4 Oral Cavity Pulmonary Fistula, CTCAE
C58171|Grade 5 Oral Cavity Pulmonary Fistula, CTCAE
C58199|Pleura Fistula, CTCAE
C58050|Grade 1 Pleura Fistula, CTCAE
C58080|Grade 2 Pleura Fistula, CTCAE
C58113|Grade 3 Pleura Fistula, CTCAE
C58144|Grade 4 Pleura Fistula, CTCAE
C58175|Grade 5 Pleura Fistula, CTCAE
C58198|Pharynx Pulmonary Fistula, CTCAE
C58049|Grade 1 Pharynx Pulmonary Fistula, CTCAE
C58079|Grade 2 Pharynx Pulmonary Fistula, CTCAE
C58112|Grade 3 Pharynx Pulmonary Fistula, CTCAE
C58143|Grade 4 Pharynx Pulmonary Fistula, CTCAE
C58174|Grade 5 Pharynx Pulmonary Fistula, CTCAE
C53798|Adverse Event Associated with Surgery and Intra-Operative Injury
C59030|Other Intra-Operative Injury, CTCAE
C58522|Grade 1 Other Intra-Operative Injury, CTCAE
C58798|Grade 3 Other Intra-Operative Injury, CTCAE
C58660|Grade 2 Other Intra-Operative Injury, CTCAE
C58936|Grade 4 Other Intra-Operative Injury, CTCAE
C53833|Intra-Operative Injury by Anatomic Descriptor, CTCAE
C58411|Adrenal Gland Intra-Operative Injury, CTCAE
C58464|Grade 1 Adrenal Gland Intra-Operative Injury, CTCAE
C58606|Grade 2 Adrenal Gland Intra-Operative Injury, CTCAE
C58744|Grade 3 Adrenal Gland Intra-Operative Injury, CTCAE
C58882|Grade 4 Adrenal Gland Intra-Operative Injury, CTCAE
C60297|Abdomen NOS Intra-Operative Injury, CTCAE
C58452|Grade 1 Abdomen NOS Intra-Operative Injury, CTCAE
C58453|Grade 2 Abdomen NOS Intra-Operative Injury, CTCAE
C58455|Grade 4 Abdomen NOS Intra-Operative Injury, CTCAE
C58454|Grade 3 Abdomen NOS Intra-Operative Injury, CTCAE
C58412|Anal Sphincter Intra-Operative Injury, CTCAE
C58465|Grade 1 Anal Sphincter Intra-Operative Injury, CTCAE
C58607|Grade 2 Anal Sphincter Intra-Operative Injury, CTCAE
C58745|Grade 3 Anal Sphincter Intra-Operative Injury, CTCAE
C58883|Grade 4 Anal Sphincter Intra-Operative Injury, CTCAE
C58413|Anus Intra-Operative Injury, CTCAE
C58608|Grade 2 Anus Intra-Operative Injury, CTCAE
C58466|Grade 1 Anus Intra-Operative Injury, CTCAE
C58746|Grade 3 Anus Intra-Operative Injury, CTCAE
C58884|Grade 4 Anus Intra-Operative Injury, CTCAE
C58414|Aorta Artery Intra-Operative Injury, CTCAE
C58467|Grade 1 Aorta Artery Intra-Operative Injury, CTCAE
C58747|Grade 3 Aorta Artery Intra-Operative Injury, CTCAE
C58609|Grade 2 Aorta Artery Intra-Operative Injury, CTCAE
C58885|Grade 4 Aorta Artery Intra-Operative Injury, CTCAE
C58416|Artery NOS Intra-Operative Injury, CTCAE
C58469|Grade 1 Artery NOS Intra-Operative Injury, CTCAE
C58611|Grade 2 Artery NOS Intra-Operative Injury, CTCAE
C58887|Grade 4 Artery NOS Intra-Operative Injury, CTCAE
C58749|Grade 3 Artery NOS Intra-Operative Injury, CTCAE
C58415|Appendix Intra-Operative Injury, CTCAE
C58468|Grade 1 Appendix Intra-Operative Injury, CTCAE
C58610|Grade 2 Appendix Intra-Operative Injury, CTCAE
C58748|Grade 3 Appendix Intra-Operative Injury, CTCAE
C58886|Grade 4 Appendix Intra-Operative Injury, CTCAE
C58417|Biliary Tree Common Bile Duct Intra-Operative Injury, CTCAE
C58470|Grade 1 Biliary Tree Common Bile Duct Intra-Operative Injury, CTCAE
C58750|Grade 3 Biliary Tree Common Bile Duct Intra-Operative Injury, CTCAE
C58612|Grade 2 Biliary Tree Common Bile Duct Intra-Operative Injury, CTCAE
C58888|Grade 4 Biliary Tree Common Bile Duct Intra-Operative Injury, CTCAE
C58418|Biliary Tree Common Hepatic Duct Intra-Operative Injury, CTCAE
C58613|Grade 2 Biliary Tree Common Hepatic Duct Intra-Operative Injury, CTCAE
C58471|Grade 1 Biliary Tree Common Hepatic Duct Intra-Operative Injury, CTCAE
C58751|Grade 3 Biliary Tree Common Hepatic Duct Intra-Operative Injury, CTCAE
C58889|Grade 4 Biliary Tree Common Hepatic Duct Intra-Operative Injury, CTCAE
C58419|Biliary Tree Left Hepatic Duct Intra-Operative Injury, CTCAE
C58472|Grade 1 Biliary Tree Left Hepatic Duct Intra-Operative Injury, CTCAE
C58473|Grade 2 Biliary Tree Left Hepatic Duct Intra-Operative Injury, CTCAE
C58474|Grade 3 Biliary Tree Left Hepatic Duct Intra-Operative Injury, CTCAE
C58475|Grade 4 Biliary Tree Left Hepatic Duct Intra-Operative Injury, CTCAE
C58422|Bladder Intra-Operative Injury, CTCAE
C58478|Grade 1 Bladder Intra-Operative Injury, CTCAE
C58616|Grade 2 Bladder Intra-Operative Injury, CTCAE
C58754|Grade 3 Bladder Intra-Operative Injury, CTCAE
C58892|Grade 4 Bladder Intra-Operative Injury, CTCAE
C58420|Biliary Tree NOS Intra-Operative Injury, CTCAE
C58476|Grade 1 Biliary Tree NOS Intra-Operative Injury, CTCAE
C58752|Grade 3 Biliary Tree NOS Intra-Operative Injury, CTCAE
C58614|Grade 2 Biliary Tree NOS Intra-Operative Injury, CTCAE
C58890|Grade 4 Biliary Tree NOS Intra-Operative Injury, CTCAE
C58421|Biliary Tree Right Hepatic Duct Intra-Operative Injury, CTCAE
C58477|Grade 1 Biliary Tree Right Hepatic Duct Intra-Operative Injury, CTCAE
C58615|Grade 2 Biliary Tree Right Hepatic Duct Intra-Operative Injury, CTCAE
C58891|Grade 4 Biliary Tree Right Hepatic Duct Intra-Operative Injury, CTCAE
C58753|Grade 3 Biliary Tree Right Hepatic Duct Intra-Operative Injury, CTCAE
C58423|Bone Intra-Operative Injury, CTCAE
C58479|Grade 1 Bone Intra-Operative Injury, CTCAE
C58617|Grade 2 Bone Intra-Operative Injury, CTCAE
C58755|Grade 3 Bone Intra-Operative Injury, CTCAE
C58893|Grade 4 Bone Intra-Operative Injury, CTCAE
C58424|Brachial Plexus Intra-Operative Injury, CTCAE
C58480|Grade 1 Brachial Plexus Intra-Operative Injury, CTCAE
C58618|Grade 2 Brachial Plexus Intra-Operative Injury, CTCAE
C58756|Grade 3 Brachial Plexus Intra-Operative Injury, CTCAE
C58894|Grade 4 Brachial Plexus Intra-Operative Injury, CTCAE
C58425|Brain Intra-Operative Injury, CTCAE
C58481|Grade 1 Brain Intra-Operative Injury, CTCAE
C58619|Grade 2 Brain Intra-Operative Injury, CTCAE
C58757|Grade 3 Brain Intra-Operative Injury, CTCAE
C58895|Grade 4 Brain Intra-Operative Injury, CTCAE
C58426|Breast Intra-Operative Injury, CTCAE
C58482|Grade 1 Breast Intra-Operative Injury, CTCAE
C58620|Grade 2 Breast Intra-Operative Injury, CTCAE
C58758|Grade 3 Breast Intra-Operative Injury, CTCAE
C58896|Grade 4 Breast Intra-Operative Injury, CTCAE
C58427|Bronchus Intra-Operative Injury, CTCAE
C58483|Grade 1 Bronchus Intra-Operative Injury, CTCAE
C58621|Grade 2 Bronchus Intra-Operative Injury, CTCAE
C58759|Grade 3 Bronchus Intra-Operative Injury, CTCAE
C58897|Grade 4 Bronchus Intra-Operative Injury, CTCAE
C58428|Carotid Artery Intra-Operative Injury, CTCAE
C58484|Grade 1 Carotid Artery Intra-Operative Injury, CTCAE
C58760|Grade 3 Carotid Artery Intra-Operative Injury, CTCAE
C58898|Grade 4 Carotid Artery Intra-Operative Injury, CTCAE
C58622|Grade 2 Carotid Artery Intra-Operative Injury, CTCAE
C58429|Cartilage Intra-Operative Injury, CTCAE
C58485|Grade 1 Cartilage Intra-Operative Injury, CTCAE
C58623|Grade 2 Cartilage Intra-Operative Injury, CTCAE
C58761|Grade 3 Cartilage Intra-Operative Injury, CTCAE
C58899|Grade 4 Cartilage Intra-Operative Injury, CTCAE
C58430|Cecum Intra-Operative Injury, CTCAE
C58486|Grade 1 Cecum Intra-Operative Injury, CTCAE
C58624|Grade 2 Cecum Intra-Operative Injury, CTCAE
C58762|Grade 3 Cecum Intra-Operative Injury, CTCAE
C58900|Grade 4 Cecum Intra-Operative Injury, CTCAE
C58431|Cerebral Artery Intra-Operative Injury, CTCAE
C58487|Grade 1 Cerebral Artery Intra-Operative Injury, CTCAE
C58763|Grade 3 Cerebral Artery Intra-Operative Injury, CTCAE
C58901|Grade 4 Cerebral Artery Intra-Operative Injury, CTCAE
C58625|Grade 2 Cerebral Artery Intra-Operative Injury, CTCAE
C58432|Cervix Intra-Operative Injury, CTCAE
C58488|Grade 1 Cervix Intra-Operative Injury, CTCAE
C58626|Grade 2 Cervix Intra-Operative Injury, CTCAE
C58764|Grade 3 Cervix Intra-Operative Injury, CTCAE
C58902|Grade 4 Cervix Intra-Operative Injury, CTCAE
C58433|Colon Intra-Operative Injury, CTCAE
C58489|Grade 1 Colon Intra-Operative Injury, CTCAE
C58627|Grade 2 Colon Intra-Operative Injury, CTCAE
C58765|Grade 3 Colon Intra-Operative Injury, CTCAE
C58903|Grade 4 Colon Intra-Operative Injury, CTCAE
C58434|Conjunctiva Intra-Operative Injury, CTCAE
C58490|Grade 1 Conjunctiva Intra-Operative Injury, CTCAE
C58628|Grade 2 Conjunctiva Intra-Operative Injury, CTCAE
C58766|Grade 3 Conjunctiva Intra-Operative Injury, CTCAE
C58904|Grade 4 Conjunctiva Intra-Operative Injury, CTCAE
C58435|Cornea Intra-Operative Injury, CTCAE
C58491|Grade 1 Cornea Intra-Operative Injury, CTCAE
C58767|Grade 3 Cornea Intra-Operative Injury, CTCAE
C58629|Grade 2 Cornea Intra-Operative Injury, CTCAE
C58905|Grade 4 Cornea Intra-Operative Injury, CTCAE
C58436|Cranial Nerve I Intra-Operative Injury, CTCAE
C58492|Grade 1 Cranial Nerve I Intra-Operative Injury, CTCAE
C58630|Grade 2 Cranial Nerve I Intra-Operative Injury, CTCAE
C58768|Grade 3 Cranial Nerve I Intra-Operative Injury, CTCAE
C58906|Grade 4 Cranial Nerve I Intra-Operative Injury, CTCAE
C58437|Cranial Nerve II Intra-Operative Injury, CTCAE
C58493|Grade 1 Cranial Nerve II Intra-Operative Injury, CTCAE
C58769|Grade 3 Cranial Nerve II Intra-Operative Injury, CTCAE
C58907|Grade 4 Cranial Nerve II Intra-Operative Injury, CTCAE
C58631|Grade 2 Cranial Nerve II Intra-Operative Injury, CTCAE
C58438|Cranial Nerve III Intra-Operative Injury, CTCAE
C58494|Grade 1 Cranial Nerve III Intra-Operative Injury, CTCAE
C58632|Grade 2 Cranial Nerve III Intra-Operative Injury, CTCAE
C58770|Grade 3 Cranial Nerve III Intra-Operative Injury, CTCAE
C58908|Grade 4 Cranial Nerve III Intra-Operative Injury, CTCAE
C58439|Cranial Nerve IV Intra-Operative Injury, CTCAE
C58495|Grade 1 Cranial Nerve IV Intra-Operative Injury, CTCAE
C58633|Grade 2 Cranial Nerve IV Intra-Operative Injury, CTCAE
C58771|Grade 3 Cranial Nerve IV Intra-Operative Injury, CTCAE
